Symbol,Name,Market_Cap,Market_Cap_Formatted,Category,Source
ZD,"Ziff Davis, Inc.",1550319872,"$1,550,319,872",Small Cap,Yahoo Finance
KARO,Karooooo Ltd.,1547136512,"$1,547,136,512",Small Cap,Yahoo Finance
HTZ,"Hertz Global Holdings, Inc",1545500800,"$1,545,500,800",Small Cap,Yahoo Finance
FLYW,Flywire Corporation - Voting,1538664064,"$1,538,664,064",Small Cap,Yahoo Finance
QURE,uniQure N.V.,1538604160,"$1,538,604,160",Small Cap,Yahoo Finance
ROCK,"Gibraltar Industries, Inc.",1535036672,"$1,535,036,672",Small Cap,Yahoo Finance
SBET,"SharpLink Gaming, Inc.",1532239872,"$1,532,239,872",Small Cap,Yahoo Finance
MXL,"MaxLinear, Inc",1524998272,"$1,524,998,272",Small Cap,Yahoo Finance
CNXN,"PC Connection, Inc.",1524863616,"$1,524,863,616",Small Cap,Yahoo Finance
SKYT,"SkyWater Technology, Inc.",1522956544,"$1,522,956,544",Small Cap,Yahoo Finance
GCT,GigaCloud Technology Inc,1521709056,"$1,521,709,056",Small Cap,Yahoo Finance
NTLA,"Intellia Therapeutics, Inc.",1512738944,"$1,512,738,944",Small Cap,Yahoo Finance
BVC,BitVentures Limited,1505280000,"$1,505,280,000",Small Cap,Yahoo Finance
ARHS,"Arhaus, Inc.",1496683904,"$1,496,683,904",Small Cap,Yahoo Finance
TIGR,UP Fintech Holding Limited,1495838592,"$1,495,838,592",Small Cap,Yahoo Finance
ENVX,Enovix Corporation,1490987904,"$1,490,987,904",Small Cap,Yahoo Finance
CCB,Coastal Financial Corporation,1489946368,"$1,489,946,368",Small Cap,Yahoo Finance
COLL,"Collegium Pharmaceutical, Inc.",1489193088,"$1,489,193,088",Small Cap,Yahoo Finance
TSAT,Telesat Corporation,1488725376,"$1,488,725,376",Small Cap,Yahoo Finance
GLIBK,"GCI Liberty, Inc. - Series C GC",1485952768,"$1,485,952,768",Small Cap,Yahoo Finance
CRML,Critical Metals Corp.,1484417664,"$1,484,417,664",Small Cap,Yahoo Finance
KOD,Kodiak Sciences Inc,1471877632,"$1,471,877,632",Small Cap,Yahoo Finance
IMKTA,"Ingles Markets, Incorporated",1470924544,"$1,470,924,544",Small Cap,Yahoo Finance
XPEL,"XPEL, Inc.",1466135552,"$1,466,135,552",Small Cap,Yahoo Finance
WEN,Wendy's Company (The),1465445632,"$1,465,445,632",Small Cap,Yahoo Finance
NSSC,"NAPCO Security Technologies, In",1462950528,"$1,462,950,528",Small Cap,Yahoo Finance
KMTS,"Kestra Medical Technologies, Lt",1458726400,"$1,458,726,400",Small Cap,Yahoo Finance
RBCAA,"Republic Bancorp, Inc.",1434700160,"$1,434,700,160",Small Cap,Yahoo Finance
WLFC,Willis Lease Finance Corporatio,1434535296,"$1,434,535,296",Small Cap,Yahoo Finance
AMSC,American Superconductor Corpora,1429070080,"$1,429,070,080",Small Cap,Yahoo Finance
TRS,TriMas Corporation,1419753344,"$1,419,753,344",Small Cap,Yahoo Finance
EXPI,"eXp World Holdings, Inc.",1415235200,"$1,415,235,200",Small Cap,Yahoo Finance
DHC,Diversified Healthcare Trust,1414138240,"$1,414,138,240",Small Cap,Yahoo Finance
ANAB,"AnaptysBio, Inc.",1413755392,"$1,413,755,392",Small Cap,Yahoo Finance
RLAY,"Relay Therapeutics, Inc.",1412577408,"$1,412,577,408",Small Cap,Yahoo Finance
NVAX,"Novavax, Inc.",1412116224,"$1,412,116,224",Small Cap,Yahoo Finance
FIVN,"Five9, Inc.",1406324480,"$1,406,324,480",Small Cap,Yahoo Finance
TRVI,"Trevi Therapeutics, Inc.",1405402240,"$1,405,402,240",Small Cap,Yahoo Finance
MLKN,"MillerKnoll, Inc.",1403867776,"$1,403,867,776",Small Cap,Yahoo Finance
NNE,Nano Nuclear Energy Inc.,1402175616,"$1,402,175,616",Small Cap,Yahoo Finance
ATAI,AtaiBeckley Inc.,1394744064,"$1,394,744,064",Small Cap,Yahoo Finance
HIMX,"Himax Technologies, Inc.",1394059776,"$1,394,059,776",Small Cap,Yahoo Finance
HCSG,"Healthcare Services Group, Inc.",1392496768,"$1,392,496,768",Small Cap,Yahoo Finance
AFYA,Afya Limited,1390316672,"$1,390,316,672",Small Cap,Yahoo Finance
NUKKW,,1385509632,"$1,385,509,632",Small Cap,Yahoo Finance
QQQX,Nuveen NASDAQ 100 Dynamic Overw,1379356672,"$1,379,356,672",Small Cap,Yahoo Finance
FSLY,"Fastly, Inc.",1378961920,"$1,378,961,920",Small Cap,Yahoo Finance
TRUP,"Trupanion, Inc.",1373269632,"$1,373,269,632",Small Cap,Yahoo Finance
CNOB,"ConnectOne Bancorp, Inc.",1372957952,"$1,372,957,952",Small Cap,Yahoo Finance
COHU,"Cohu, Inc.",1370428288,"$1,370,428,288",Small Cap,Yahoo Finance
AHCO,AdaptHealth Corp.,1367785856,"$1,367,785,856",Small Cap,Yahoo Finance
GILT,Gilat Satellite Networks Ltd.,1365158272,"$1,365,158,272",Small Cap,Yahoo Finance
NVCR,NovoCure Limited,1365060352,"$1,365,060,352",Small Cap,Yahoo Finance
TNDM,"Tandem Diabetes Care, Inc.",1362149376,"$1,362,149,376",Small Cap,Yahoo Finance
DSGR,"Distribution Solutions Group, I",1360950528,"$1,360,950,528",Small Cap,Yahoo Finance
BITF,Bitfarms Ltd.,1351307008,"$1,351,307,008",Small Cap,Yahoo Finance
PLTK,Playtika Holding Corp.,1350040448,"$1,350,040,448",Small Cap,Yahoo Finance
NEXT,NextDecade Corporation,1345191168,"$1,345,191,168",Small Cap,Yahoo Finance
IMTX,Immatics N.V.,1339297664,"$1,339,297,664",Small Cap,Yahoo Finance
JCAP,"Jefferson Capital, Inc.",1335505408,"$1,335,505,408",Small Cap,Yahoo Finance
CSWC,Capital Southwest Corporation,1330361088,"$1,330,361,088",Small Cap,Yahoo Finance
PSNY,Polestar Automotive Holding UK ,1329607168,"$1,329,607,168",Small Cap,Yahoo Finance
ABTC,American Bitcoin Corp.,1326475136,"$1,326,475,136",Small Cap,Yahoo Finance
WLTH,Wealthfront Corporation,1324061696,"$1,324,061,696",Small Cap,Yahoo Finance
RAPP,"Rapport Therapeutics, Inc.",1322596480,"$1,322,596,480",Small Cap,Yahoo Finance
CERT,"Certara, Inc.",1321968896,"$1,321,968,896",Small Cap,Yahoo Finance
EZPW,"EZCORP, Inc.",1317183360,"$1,317,183,360",Small Cap,Yahoo Finance
DVGR,DAC 3D Dividend Growth ETF,1316306048,"$1,316,306,048",Small Cap,Yahoo Finance
PSEC,Prospect Capital Corporation,1299714304,"$1,299,714,304",Small Cap,Yahoo Finance
MGIC,Magic Software Enterprises Ltd.,1298676608,"$1,298,676,608",Small Cap,Yahoo Finance
AMPH,"Amphastar Pharmaceuticals, Inc.",1298142592,"$1,298,142,592",Small Cap,Yahoo Finance
ELE,Elemental Royalty Corporation,1295170560,"$1,295,170,560",Small Cap,Yahoo Finance
CCEC,Capital Clean Energy Carriers C,1286812928,"$1,286,812,928",Small Cap,Yahoo Finance
ECPG,Encore Capital Group Inc,1285437568,"$1,285,437,568",Small Cap,Yahoo Finance
CSIQ,Canadian Solar Inc.,1281179008,"$1,281,179,008",Small Cap,Yahoo Finance
PLPC,Preformed Line Products Company,1280806784,"$1,280,806,784",Small Cap,Yahoo Finance
IMOS,ChipMOS TECHNOLOGIES INC.,1276911360,"$1,276,911,360",Small Cap,Yahoo Finance
TSHA,"Taysha Gene Therapies, Inc.",1276464128,"$1,276,464,128",Small Cap,Yahoo Finance
WABC,Westamerica Bancorporation,1275325696,"$1,275,325,696",Small Cap,Yahoo Finance
GIII,"G-III Apparel Group, LTD.",1265619840,"$1,265,619,840",Small Cap,Yahoo Finance
OPRA,Opera Limited,1264037632,"$1,264,037,632",Small Cap,Yahoo Finance
IRMD,iRadimed Corporation,1259394432,"$1,259,394,432",Small Cap,Yahoo Finance
CAPR,"Capricor Therapeutics, Inc.",1256079488,"$1,256,079,488",Small Cap,Yahoo Finance
CRAI,"CRA International,Inc.",1250022912,"$1,250,022,912",Small Cap,Yahoo Finance
PPH,VanEck Pharmaceutical ETF,1248577024,"$1,248,577,024",Small Cap,Yahoo Finance
TRIN,Trinity Capital Inc.,1237422848,"$1,237,422,848",Small Cap,Yahoo Finance
MRVI,"Maravai LifeSciences Holdings, ",1234737280,"$1,234,737,280",Small Cap,Yahoo Finance
PDFS,"PDF Solutions, Inc.",1233989760,"$1,233,989,760",Small Cap,Yahoo Finance
METC,"Ramaco Resources, Inc.",1233196160,"$1,233,196,160",Small Cap,Yahoo Finance
VITL,"Vital Farms, Inc.",1228612864,"$1,228,612,864",Small Cap,Yahoo Finance
SANA,"Sana Biotechnology, Inc.",1222620544,"$1,222,620,544",Small Cap,Yahoo Finance
XERS,"Xeris Biopharma Holdings, Inc.",1221202816,"$1,221,202,816",Small Cap,Yahoo Finance
OUST,"Ouster, Inc.",1219906176,"$1,219,906,176",Small Cap,Yahoo Finance
CCOI,"Cogent Communications Holdings,",1215304704,"$1,215,304,704",Small Cap,Yahoo Finance
EVO,Evotec SE,1214815488,"$1,214,815,488",Small Cap,Yahoo Finance
AMPL,"Amplitude, Inc.",1211196800,"$1,211,196,800",Small Cap,Yahoo Finance
TBLA,Taboola.com Ltd.,1207645952,"$1,207,645,952",Small Cap,Yahoo Finance
AMAL,Amalgamated Financial Corp.,1203140608,"$1,203,140,608",Small Cap,Yahoo Finance
SGML,Sigma Lithium Corporation,1202390016,"$1,202,390,016",Small Cap,Yahoo Finance
INBX,"Inhibrx Biosciences, Inc.",1195931648,"$1,195,931,648",Small Cap,Yahoo Finance
ACHC,"Acadia Healthcare Company, Inc.",1194768768,"$1,194,768,768",Small Cap,Yahoo Finance
PHAR,Pharming Group N.V.,1182628352,"$1,182,628,352",Small Cap,Yahoo Finance
DAWN,"Day One Biopharmaceuticals, Inc",1180768256,"$1,180,768,256",Small Cap,Yahoo Finance
SAFT,"Safety Insurance Group, Inc.",1177235584,"$1,177,235,584",Small Cap,Yahoo Finance
DBVT,DBV Technologies S.A.,1172174080,"$1,172,174,080",Small Cap,Yahoo Finance
AEBI,Aebi Schmidt Holding AG,1170954624,"$1,170,954,624",Small Cap,Yahoo Finance
PEBO,Peoples Bancorp Inc.,1163559552,"$1,163,559,552",Small Cap,Yahoo Finance
ASTE,"Astec Industries, Inc.",1163236480,"$1,163,236,480",Small Cap,Yahoo Finance
GLIBA,"GCI Liberty, Inc. - Series A GC",1162173568,"$1,162,173,568",Small Cap,Yahoo Finance
CMPX,"Compass Therapeutics, Inc.",1159660800,"$1,159,660,800",Small Cap,Yahoo Finance
ULCC,"Frontier Group Holdings, Inc.",1159406208,"$1,159,406,208",Small Cap,Yahoo Finance
LMRI,"Lumexa Imaging Holdings, Inc.",1159374976,"$1,159,374,976",Small Cap,Yahoo Finance
DMLP,"Dorchester Minerals, L.P.",1159095936,"$1,159,095,936",Small Cap,Yahoo Finance
LGIH,"LGI Homes, Inc.",1158570880,"$1,158,570,880",Small Cap,Yahoo Finance
AXTI,AXT Inc,1157440896,"$1,157,440,896",Small Cap,Yahoo Finance
AKTS,"Aktis Oncology, Inc.",1154439680,"$1,154,439,680",Small Cap,Yahoo Finance
CSTL,"Castle Biosciences, Inc.",1152076416,"$1,152,076,416",Small Cap,Yahoo Finance
DAKT,"Daktronics, Inc.",1148498560,"$1,148,498,560",Small Cap,Yahoo Finance
UPBD,"Upbound Group, Inc.",1144796288,"$1,144,796,288",Small Cap,Yahoo Finance
NUTX,Nutex Health Inc.,1140346496,"$1,140,346,496",Small Cap,Yahoo Finance
CTBI,"Community Trust Bancorp, Inc.",1138218752,"$1,138,218,752",Small Cap,Yahoo Finance
CLOV,"Clover Health Investments, Corp",1136691712,"$1,136,691,712",Small Cap,Yahoo Finance
IVA,Inventiva S.A. - American Depos,1134280832,"$1,134,280,832",Small Cap,Yahoo Finance
HLIT,Harmonic Inc.,1134182400,"$1,134,182,400",Small Cap,Yahoo Finance
XXX,CYBER HORNET S&P 500 AND XRP 75,1132914816,"$1,132,914,816",Small Cap,Yahoo Finance
FSUN,FirstSun Capital Bancorp,1131110400,"$1,131,110,400",Small Cap,Yahoo Finance
INMD,InMode Ltd.,1127979264,"$1,127,979,264",Small Cap,Yahoo Finance
SVRA,"Savara, Inc.",1123142528,"$1,123,142,528",Small Cap,Yahoo Finance
SEPN,"Septerna, Inc.",1120698112,"$1,120,698,112",Small Cap,Yahoo Finance
ASTH,Astrana Health Inc.,1119473280,"$1,119,473,280",Small Cap,Yahoo Finance
SIFY,Sify Technologies Limited - Ame,1119260672,"$1,119,260,672",Small Cap,Yahoo Finance
MLTX,MoonLake Immunotherapeutics,1118680448,"$1,118,680,448",Small Cap,Yahoo Finance
PZZA,"Papa John's International, Inc.",1111233280,"$1,111,233,280",Small Cap,Yahoo Finance
OXLC,Oxford Lane Capital Corp.,1106071424,"$1,106,071,424",Small Cap,Yahoo Finance
EYPT,"EyePoint, Inc.",1100242048,"$1,100,242,048",Small Cap,Yahoo Finance
OCFC,OceanFirst Financial Corp.,1090994688,"$1,090,994,688",Small Cap,Yahoo Finance
MRTN,"Marten Transport, Ltd.",1086957184,"$1,086,957,184",Small Cap,Yahoo Finance
CDNA,"CareDx, Inc.",1086894336,"$1,086,894,336",Small Cap,Yahoo Finance
ORIC,"Oric Pharmaceuticals, Inc.",1086864384,"$1,086,864,384",Small Cap,Yahoo Finance
PFBC,Preferred Bank,1083408128,"$1,083,408,128",Small Cap,Yahoo Finance
NNNN,Anbio Biotechnology,1082356992,"$1,082,356,992",Small Cap,Yahoo Finance
OCSL,Oaktree Specialty Lending Corpo,1078166784,"$1,078,166,784",Small Cap,Yahoo Finance
PHAT,"Phathom Pharmaceuticals, Inc.",1077365632,"$1,077,365,632",Small Cap,Yahoo Finance
IGIC,International General Insurance,1076432128,"$1,076,432,128",Small Cap,Yahoo Finance
BLFS,"BioLife Solutions, Inc.",1075145856,"$1,075,145,856",Small Cap,Yahoo Finance
VIR,"Vir Biotechnology, Inc.",1072653952,"$1,072,653,952",Small Cap,Yahoo Finance
ALNT,Allient Inc.,1071506688,"$1,071,506,688",Small Cap,Yahoo Finance
ICHR,Ichor Holdings,1070381120,"$1,070,381,120",Small Cap,Yahoo Finance
MOMO,Hello Group Inc.,1070058688,"$1,070,058,688",Small Cap,Yahoo Finance
RZLV,Rezolve AI PLC,1068857920,"$1,068,857,920",Small Cap,Yahoo Finance
OSBC,"Old Second Bancorp, Inc.",1066025088,"$1,066,025,088",Small Cap,Yahoo Finance
RDWR,Radware Ltd.,1065879232,"$1,065,879,232",Small Cap,Yahoo Finance
OLPX,"Olaplex Holdings, Inc.",1054668864,"$1,054,668,864",Small Cap,Yahoo Finance
EVLV,"Evolv Technologies Holdings, In",1051197824,"$1,051,197,824",Small Cap,Yahoo Finance
ABCL,AbCellera Biologics Inc.,1047672640,"$1,047,672,640",Small Cap,Yahoo Finance
FMBH,"First Mid Bancshares, Inc.",1045626944,"$1,045,626,944",Small Cap,Yahoo Finance
SCZM,Santacruz Silver Mining Ltd.,1044086208,"$1,044,086,208",Small Cap,Yahoo Finance
NEGG,"Newegg Commerce, Inc.",1041824384,"$1,041,824,384",Small Cap,Yahoo Finance
PENG,"Penguin Solutions, Inc.",1040691136,"$1,040,691,136",Small Cap,Yahoo Finance
SDGR,"Schrodinger, Inc.",1037935680,"$1,037,935,680",Small Cap,Yahoo Finance
IOVA,"Iovance Biotherapeutics, Inc.",1036086336,"$1,036,086,336",Small Cap,Yahoo Finance
NBTX,Nanobiotix S.A.,1034050560,"$1,034,050,560",Small Cap,Yahoo Finance
MFIC,MidCap Financial Investment Cor,1033804160,"$1,033,804,160",Small Cap,Yahoo Finance
CTMX,"CytomX Therapeutics, Inc.",1031861568,"$1,031,861,568",Small Cap,Yahoo Finance
GLDD,Great Lakes Dredge & Dock Corpo,1028149440,"$1,028,149,440",Small Cap,Yahoo Finance
NBN,Northeast Bank,1021631360,"$1,021,631,360",Small Cap,Yahoo Finance
SPRY,"ARS Pharmaceuticals, Inc.",1018140672,"$1,018,140,672",Small Cap,Yahoo Finance
OPK,"Opko Health, Inc.",1016041920,"$1,016,041,920",Small Cap,Yahoo Finance
ARVN,"Arvinas, Inc.",1015365312,"$1,015,365,312",Small Cap,Yahoo Finance
PEY,Invesco High Yield Equity Divid,1010128000,"$1,010,128,000",Small Cap,Yahoo Finance
NBBK,"NB Bancorp, Inc.",1009246080,"$1,009,246,080",Small Cap,Yahoo Finance
SBGI,"Sinclair, Inc.",1009018240,"$1,009,018,240",Small Cap,Yahoo Finance
BHRB,Burke & Herbert Financial Servi,1005625152,"$1,005,625,152",Small Cap,Yahoo Finance
